,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
235,christmas tree pizza,bread,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, high_fiber_diet vegan_diet,315
236,vegetable bruschetta,bread,"baguette (grilled slices), black olive tapenade, artichoke hearts, lettuce arugula (trummed), tomato confit, fresh basil leaves, mint leaves, zucchini, goat cheese, parmesan cheese shavings, mozzarella buffalo cheese",veg,calcium, kidney_disease scurvy obesity heart_disease, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,350
237,spinach and feta crepes,bread,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",veg,vitamin_c, kidney_disease scurvy goitre anemia, dash_diet high_fiber_diet type_a_diet ketogenic_diet,475
238,red wine braised mushroom flatbread,wine,"olive oil, fresh buffalo mozzarella cheese, canned pelati tomatoes (cooked), pizza/flatbread base, mushrooms, red wine, parsley, garlic cloves (halved), salt",veg,vitamin_c, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet low_fat_diet alkaline_diet,550
239,strawberry &amp; pistachio breton tart,bread,"plain flour, baking powder, sea salt, unsalted butter, egg yoks, castor sugar, double cream, yolk, sugar, gelatine, butter, pistachio paste, strawberry",veg,vitamin_a, kidney_disease scurvy, low_fat_diet high_protien_diet,545
240,tricolour pizza,bread,"pizza base , pizza sauce, mozzarella cheese, black olive, green capsicum, carrots, olive oil",veg,sodium, goitre, vegan_diet,565
241,instant rava dosa,bread,"rava/suji/semolina, rice flour, all purpose flour, fresh coconut (pieces), jeera, green chilli, dhaniya, onion (diced), salt, water, oil, ghee/clarified butter",veg,iron, rickets, high_fiber_diet low_fat_diet vegan_diet,685
242,easy bread poha,bread,"oil, hing, mustard seeds, curry leaves, whole red chillies, cookes peas, peanuts, turmeric powder, salt, bread, green chillies, lemon juice, coriander leaves, dessicated coconut",veg,iron, heart_disease eye_disease rickets obesity hypertension goitre, dash_diet high_fiber_diet ketogenic_diet low_fat_diet vegan_diet Mediterranean_diet high_protien_diet,270
243,bread chana basket,bread,"bread (white/brown), butter, for chana chaat:, chana, onion, tomatoes, cumin seeds, ginger garlic paste, chilli powder, chana masala, turmeric powder , oil, salt",veg,chloride, heart_disease, dash_diet high_fiber_diet Mediterranean_diet,585
244,spaghetti with clams &amp; crispy bread crumbs,bread,"panko, 1/4 cup plus 1 tablespoon extra-virgin olive oil, plus more for drizzling, kosher salt, freshly ground pepper,  garlic cloves,  manila clams or cockles, scrubbed, dry white wine,  spaghetti,  lemon zest,  lemon juice,  mullet bottarga (optional; see note),   red pepper,  thyme,  rosemary,  parsley",veg,iron, heart_disease, dash_diet high_fiber_diet ketogenic_diet low_fat_diet vegan_diet Mediterranean_diet,365
245,kasha bread,bread,"kasha, boiling water, buckwheat flour, all-purpose gluten free flour, brown sugar, baking powder, baking soda, xanthum gum, salt, buttermilk, cream, egg, oil, walnuts",veg,selenium, heart_disease, dash_diet high_fiber_diet ketogenic_diet low_fat_diet vegan_diet Mediterranean_diet,520
246,egg paratha,bread,"whole wheat flour, salt, oil, eggs, onions, green chilli, coriander leaves, garam masala",non-veg,vitamin_a, rickets diabeties hypertension kidney_disease goitre pregnancy, low_sodium_diet low_fat_diet ketogenic_diet high_protien_diet,460
247,egg and cheddar cheese sandwich,bread,"egg, salt, pepper, ham slices, basil leaves",non-veg,vitamin_a, eye_disease rickets obesity diabeties hypertension kidney_disease goitre pregnancy, dash_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet vegan_diet high_protien_diet,370
248,egg in a blanket,bread,"eggs, brown bread slices, butter, chilli flakes, oregano, salt",non-veg,vitamin_a, rickets diabeties hypertension kidney_disease goitre pregnancy, low_sodium_diet low_fat_diet ketogenic_diet high_protien_diet,445
249,bread dahi vada,bread,"bread slices, curd, oil, salt and black pepper , red chilli powder, aamchoor powder, mint leaves, zeera powder, anardana",veg,chloride, heart_disease, dash_diet high_fiber_diet Mediterranean_diet,245
250,cheese and avocado parantha,bread,"गेंहू का आटा, कसूरी मेथी, पानी, जैतून का तेल, एवोकाडो, मॉजरेला चीज, पिज्जा सिजनिंग, घी , नमक",veg,calcium, obesity heart_disease eye_disease, dash_diet high_fiber_diet paleo_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet vegan_diet Mediterranean_diet high_protien_diet,470
251,bread with tomatoes and olives,bread,"फ्रेंच ब्रेड लोफ, टोमैटो, एक्स्ट्रा वर्जिन ऑलिव ऑयल, नमक, कालीमिर्च, पासर्ले , स्टफ्ड ग्रीन ऑलिव",veg,vitamin_c, cancer heart_disease, dash_diet high_fiber_diet ketogenic_diet Mediterranean_diet high_protien_diet,305
252,beetroot modak,modak,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, hypertension, low_fat_diet vegan_diet ketogenic_diet,225
253,active charcoal modak,modak,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, obesity diabeties, low_fat_diet vegan_diet ketogenic_diet hormone_diet,610
254,flax seed and beetroot modak,modak,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder",veg,magnesium, goitre heart_disease hypertension, high_fiber_diet vegan_diet high_protien_diet,550
255,lemon poppy seed cake,cake,"plain flour, baking powder, salt, castor sugar, baking soda, eggs, butter, vanilla essence, lemon juice, poppy seed, lemon peel, to serve:, lemon syrup, whip cream, fresh berry",veg,potassium, scurvy, high_fiber_diet low_fat_diet ketogenic_diet high_protien_diet,235
256,chocolate prunes gujiyas,chocolate,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,390
257,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",veg,magnesium, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet gluten_free_diet omni_diet high_protien_diet,420
258,gajar halwa tart,halwa,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder",veg,vitamin_d, kidney_disease, low_fat_diet,625
259,christmas chocolate fudge cookies,cookie,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,670
260,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",veg,vitamin_a, kidney_disease goitre, high_protien_diet,635
261,chocolate appo,chocolate,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,255
262,red rice vermicelli kheer,kheer,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",veg,carbohydrates, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,590
263,grilled almond barfi (sugar free),barfi,"khoya, sweetener (optional), almonds (crushed)",veg,calcium, goitre hypertension, ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,285
264,chocolate kaju katli,kaju,"cashew nuts, sugar, water, milk chocolate or dark chocolate",veg,vitamin_d, heart_disease hypertension, high_fiber_diet ketogenic_diet,205
265,chocolate samosa,samosa,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,275
266,mix fruit laccha rabri tortilla crunch,rabri,"milk, sugar, cardamom powder, saffron, almonds and pistachios, grapes, apple, kiwi, orange, pomegranate, mint leaves, tortilla sheet, oil",veg,calcium, heart_disease eye_disease scurvy obesity diabeties hypertension pregnancy, high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_sodium_diet low_fat_diet vegan_diet high_protien_diet,210
267,apple rabdi,rabdi,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",veg,calcium, obesity diabeties, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,655
268,dates and nuts ladoo,ladoo,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",veg,vitamin_e, heart_disease obesity cancer diabeties kidney_disease anemia, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet gluten_free_diet vegan_diet omni_diet,680
269,green lentil dessert fudge,dessert,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)",veg,calcium, goitre heart_disease scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet vegan_diet high_protien_diet,665
270,pista chocolate &amp; mandarin,chocolate,"पिस्ता, दूध, चीनी, टूटे हुए चावल, हरी इलाइची, वाइट चॉकलेट, दूध, अंडे का पीला भाग, विप्ड क्रीम, वनीला पॉड, मैन्डरिन , चीनी, पानी",veg,magnesium, scurvy heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,335
271,banana and maple ice lollies,banana,"केले, ग्रीक योगर्ट, हैवी क्रीम, प्योर मैपल सिरप , नारियल",veg,selenium, hypertension, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet,435
272,banana and chia tea cake,cake,"बनाना, कैस्टर शुगर, मैदा, तेल, दूध, अंडे, बेकिंग सोडा, अलसी के बीज, बादाम फलेक्स, चिया सीड्स",veg,potassium, heart_disease obesity diabeties hypertension goitre, high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet vegan_diet high_protien_diet,470
273,chocolate and almond rum ball h,almond,"चॉकलेट स्पॉज एगलेस, डार्क चॉकलेट, सिंगल क्रीम, बादाम, कैस्टर शुगर, इंस्टेंट कॉफी पाउडर, डार्क रम",veg,magnesium, heart_disease hypertension, gluten_free_diet high_fiber_diet ketogenic_diet high_protien_diet,615
274,cashew nut cookies,cookie,"काजू पेस्ट, घी, खांड, फलैक्स या चिया सीडस, बेकिंग सोडा, बेकिंग पाउडर, वनीला, ओट्स, मैदा आर्गेनिक",veg,protien, hypertension, dash_diet vegan_diet ketogenic_diet high_protien_diet,630
275,lemon sushi cake,cake,"वनीला प्री मिक्स, जेल, तेल, पानी, अंडे का पीला भाग, नींबू का रस, चीनी, मक्खन, वाइट चॉकलेट, कुकिंग क्रीम, दूध",veg,potassium, scurvy, high_fiber_diet low_fat_diet ketogenic_diet alkaline_diet,485
276,chocolate doughnut,chocolate,"चीनी, अंडे का पीला भाग, अंडा, मक्खन, यीस्ट, दूध",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,485
277,spiced almond banana jaggery cake,cake,"मक्खन, दालचीनी गुड़ पाउडर, जायफल (पीसा हुआ), बादाम, चीनी, अंडे, संतरे का छिलका , केला, मैदा, बेकिंग सोडा, बेकिंग पाउडर, नमक, छाछ, पीसी हुई दालचीनी",veg,potassium, hypertension, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet,550
278,fennel scented sweet banana fritters,banana,"गेंहू का आटा, केला, गुड़ , दूध या पानी, घी या तेल",veg,selenium, scurvy hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet paleo_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet vegan_diet Mediterranean_diet,510
279,camel milk cake tart,cake,"कैमल मिल्क, चीनी, सिरका, मक्खन, ब्राउन शुगर, मैदा, अंडे",veg,vitamin_d, kidney_disease rickets cancer hypertension, dash_diet high_fiber_diet ketogenic_diet low_fat_diet high_protien_diet,425
280,quinoa coconut crumble custard,coconut,"क्निोआ (पका हुआ), ओट्स, दालचीनी पाउडर, नमक, ब्राउन शुगर या गुड़, नट्स, कोकोनट्स फलेक्स, अंडे, क्निोआ, नारियल दूध, मैपल सिरप, वनीला एक्ट्रैक्ट, दालचीनी पाउडर, नमक, शहद",veg,protien, goitre obesity pregnancy hypertension, dash_diet high_fiber_diet paleo_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet,300
281,andhra pan fried pomfret,curry,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander",veg,iron, cancer, high_fiber_diet alkaline_diet hormone_diet low_fat_diet vegan_diet,395
282,andhra crab meat masala,crab,"processed crab meat, refined oil, curry leaves, garlic, green chilli, onion, ginger-garlic paste, coriander, coriander powder, cumin powder, turmeric powder, garam masala powder, kashmiri chilli powder, salt, lemon, chop masala, tomato",non-veg,potassium, obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,630
283,malabari fish curry,curry,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,440
284,ghee roast chicken dosa quesadilla,dosa,"dry red chillies, coriander seeds, cumin seeds, fenugreek seeds, black pepper, clove, garlic, turmeric powder, boneless chicken, curd, lemon (juiced), for cooking chicken:, tamarind pulp, ginger (1 inch), garlic cloves, onion, tomato, ghee, red chilli powder, salt, crushed jaggery, dosa batter (for 4 dosas), processed cheese, ghee or oil (to crisp the dosa), coriander leaves, curry leaves (deep fried), curd, salt, zeera powder, sugar, red chilli powder",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,505
285,chicken minced salad,salad,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts",non-veg,fiber, goitre rickets obesity hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,425
286,steam bunny chicken bao,bao,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,575
287,lamb barley pot,barley,"pot barley, onions, worcestershire sauce, chilli flakes, mustard seeds, thick mutton chunks, thick neck of lamb chops, water or stock (to cover), salt, black pepper (freshly ground)",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,620
288,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",veg,magnesium, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet gluten_free_diet omni_diet high_protien_diet,215
289,al hachi chicken,chicken,"shallow fried chicken, bottle gourd (boiled and sun dried), onion, garlic, whole spices:, green cardamom, black cardamom, cinnamon sticks, turmeric, deggi mirch, fennel seeds powder, dry ginger powder, coriander powder, salt, mustard oil, desi ghee",non-veg,magnesium, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,425
290,almond and chicken momos (without shell),chicken,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",non-veg,calcium, goitre rickets hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet gluten_free_diet vegan_diet high_protien_diet,495
291,berry parfait hazelnut white chocolate sable,chocolate,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin",veg,vitamin_a, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet omni_diet high_protien_diet,435
292,christmas tree pizza,pizza,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, high_fiber_diet vegan_diet,475
293,portugese fish stew,fish,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,340
294,cajun spiced turkey wrapped with bacon,wrapped,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))",non-veg,vitamin_c, cancer, high_protien_diet,660
295,badam papite ke kebab with pineapple salsa,kebab,"​कच्चा पपीता, कच्चा आलू, बादाम, नमक, हींग, हल्दी, अजवाइन, धनिया, अदरक, हरी मिर्च, बेसन, हरा धनिया, तेल, पाइनएप्पल, प्याज, हरी मिर्च, हरा धनिया, नींबू का रस, नमक , कालीमिर्च",non-veg,phosphorus, kidney_disease goitre, high_fiber_diet low_fat_diet vegan_diet,205
296,mixed vegetable soup,soup,"मिक्स वेजिटेबल  (टमाटर, गाजर, मटर और फ्रेंच बीन्स), नमक, जीरा पाउडर, तेल, कढ़ीपत्ता",veg,sodium, heart_disease scurvy obesity diabeties kidney_disease, dash_diet high_fiber_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,295
297,pan seared thigh of chicken,chicken,"चिकन थाई, नमक, कालीमिर्च, नींबू, फ्रेश थाइम, बार्ले, ब्रॉकली, मशरूम, एक्ट्रा वर्जिन आॅलिव आॅइल, चेरी टोमैटो",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,360
298,chicken in mahalak sauce,sauce,"नमक, चीनी, सीजनिंग, तेल, कॉर्न फलोर, चिकन लेग, ताजी लाल मिर्च, लहसुन, अदरक , प्याज, लाल मिर्च पेस्ट, टोमैटो कैचअप, लाल शिमला मिर्च, पीली शिमला मिर्च, वेजिटेबल स्टॉक",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,470
299,berry parfait hazelnut white chocolate sable,chocolate,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin",veg,vitamin_a, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet omni_diet high_protien_diet,475
300,belgian pork chop,chop,"pork chop, pink pepper corn, green pepper corn, aromatic sauce, salt, black pepper, salted butter, refined oil, red cabbage, bell pepper chop, apricot, onion, red wine, ancho chilli, cayenne pepper, microgreen",veg,iron, goitre pregnancy, high_fiber_diet paleo_diet low_fat_diet vegan_diet high_protien_diet,300
301,strawberry &amp; pistachio breton tart,strawberry,"plain flour, baking powder, sea salt, unsalted butter, egg yoks, castor sugar, double cream, yolk, sugar, gelatine, butter, pistachio paste, strawberry",veg,vitamin_a, kidney_disease scurvy, low_fat_diet high_protien_diet,580
302,duo of chocolate and strawberry,strawberry,"dark chocolate, white chocolate, strawberries",veg,vitamin_c, scurvy heart_disease hypertension, high_fiber_diet ketogenic_diet,595
303,mustard-parmesan whole roasted cauliflower,roasted,"cauliflowers, garlic, halved, olive oil , dijon mustard , kosher salt , freshly ground black pepper , fresh parsley leaves, parmesan , lemon wedges",veg,chloride, kidney_disease cancer hypertension, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,340
304,hassel back sweet potatoes,vanilla,"sweet potatoes, butter, brown sugar, pure vanilla extract, ground cinnamon, himalayan pink salt / rock salt",veg,chloride, scurvy obesity hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet paleo_diet alkaline_diet low_sodium_diet low_fat_diet omni_diet Mediterranean_diet high_protien_diet,215
305,slow cooked spiced sangria,sangria,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy",veg,iron, goitre heart_disease scurvy obesity diabeties kidney_disease anemia pregnancy, high_fiber_diet low_fat_diet vegan_diet ketogenic_diet,570
306,mother christmas cake,cake,"tart apples (2 large), sugar, apple juice, eggs, vegetable oil, vanilla extracts, all-purpose flour, apple pie spice (cinnamon), salt, pecans, candied red cherries (halved), candied green cherried (halved), candied pineapple (diced), cashews (optional)",veg,potassium, pregnancy, high_fiber_diet low_fat_diet ketogenic_diet,585
307,matcha tea macarons,tea,"egg whites, breakfast sugar, icing sugar, almond powder, matcha powder, heavy cream, white chocolate",veg,vitamin_a, heart_disease, ketogenic_diet hormone_diet,425
308,"amaranthus granola with lemon yogurt, berries and marigold",yogurt,"popped amaranthus (cholai), oats, almonds, cinnamon powder, sunflower seeds, sesame seeds, honey, brown sugar, salt, olive oil, lemon rind, plain yogurt (whipped with lemon rind), blueberries",veg,calcium, heart_disease scurvy obesity hypertension kidney_disease goitre pregnancy, dash_diet ketogenic_diet low_sodium_diet low_fat_diet vegan_diet omni_diet Mediterranean_diet high_protien_diet,245
309,chocolate fudge cookies,cookie,"dark chocolate coverture, butter, sugar, eggs, flour, baking powder, salt, cocoa powder, vanilla essence",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,570
310,veg summer rolls,rice,"rice paper sheets, iceberg lettuce, carrot, bean sprouts, cucumber, tofu, basil, mint leaves, coriander, rice noodles (soaked in warm water for 20-25 minutes), peanuts, hoisin sauce, peanuts, garlic, oil, red chillies, water",veg,carbohydrates, diabeties, high_protien_diet,665
311,eggless vanilla cake,cake,"maida, baking powder, castor sugar, butter, milk, vanilla essence, vinegar",veg,potassium, goitre, high_fiber_diet low_fat_diet ketogenic_diet,215
312,sweet potato pie,pie,"yams (red skinned), condensed milk, sugar, egg , cinnamon , marshmallows ,",veg,vitamin_a, scurvy hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet paleo_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet Mediterranean_diet high_protien_diet,415
313,wok tossed asparagus in mild garlic sauce,sauce,"asparagus, 1 fried onion (medium), 1/2 tsp breakfast sugar, 10 ml potato starch, 20 ml stock vegetarian, 20 gm porcini, salt to taste, 50 ml oil",veg,chloride, heart_disease scurvy cancer diabeties hypertension kidney_disease pregnancy, dash_diet low_fat_diet type_a_diet alkaline_diet,465
314,cinnamon oatmeal pancakes,pancakes,"rolled oats, buttermilk (divided), whole wheat flour or oat flour, baking powder, baking soda, cinnamon, salt, eggs, canola oil , honey or maple syrup,",veg,selenium, rickets obesity cancer diabeties hypertension goitre, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,660
315,chocolate chip cheesecake,chocolate,"butter biscuits (broken into pieces), butter (softened), cream cheese (softened), sugar, egg, rose essence or vanilla essence, chocolate chips",veg,calcium, heart_disease hypertension, high_fiber_diet ketogenic_diet low_fat_diet vegan_diet high_protien_diet,565
316,chocolate lava cake,cake,"dark chocolate, butter, icing sugar, egg yolks +  whole eggs, flour",veg,vitamin_a, heart_disease hypertension, high_fiber_diet ketogenic_diet,415
317,eggless coffee cupcakes,coffee,"maida/ flour, baking powder, sugar, cocoa powder, vanilla essence, butter (softened, salted. in case you are using unsalted butter, add 1/4 tsp salt), milk (to make the batter smooth. adjust the milk quantity according to your batter's smoothness), coffee powder + 1 tsp water, to make a paste (you can increase or decrease according to your coffee tolerance)",veg,vitamin_d, anemia pregnancy, ketogenic_diet hormone_diet,205
318,chicken in white wine,wine,"black pepper, plain flour, olive or sunflower oil, rashers lean bacon, onions or shallots  (cut in half), mushrooms, butter, boneless and skinless chicken breasts (chopped into 3cm pieces), dry white wine, chicken or vegetable stock, garlic cloves, bay leaves, fresh thyme sprigs (washed or 1/2 tsp dried thyme)",non-veg,iron, goitre rickets obesity scurvy kidney_disease anemia pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet omni_diet high_protien_diet,285
319,chocolate and almond rum ball h,almond,"चॉकलेट स्पॉज एगलेस, डार्क चॉकलेट, सिंगल क्रीम, बादाम, कैस्टर शुगर, इंस्टेंट कॉफी पाउडर, डार्क रम",veg,magnesium, heart_disease hypertension, gluten_free_diet high_fiber_diet ketogenic_diet high_protien_diet,480
320,apple and walnut cake,cake,"सेब, अंडे, अखरोट, चीनी, अखरोट, तेल, मैदा, बेकिंग पाउडर, दालचीनी पाउडर",veg,potassium, obesity diabeties, high_fiber_diet low_fat_diet ketogenic_diet high_protien_diet,520
321,chocolate nero cookies,cookie,"बादाम, अंडे, चीनी (पीसी हुई), चॉकलेट (हल्की मीठी), मक्खन, मैदा, बेकिंग पाउडर, कैस्टर शुगर, आइसिंग शुगर",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,335
322,gluten free almond cake,cake,"बादाम पाउडर, अंडा, शहद , बेकिंग सोडा, वनिला एसेंस, नमक, शहद, बादाम",veg,potassium, heart_disease obesity diabeties hypertension kidney_disease goitre, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet gluten_free_diet vegan_diet,460
323,cinnamon star cookies,cookie,"मक्खन, कैस्टर शुगर, क्रिसमस मिक्स स्पाइसी, दालचीनी पाउडर, शहद, ग्लूकोज, क्रीम, कुट्टू का आटा, बेकिंग सोडा, ब्रेड फलार",veg,protien, cancer hypertension diabeties, ketogenic_diet,375
324,christmas chocolate fudge cookies,cookie,"मक्खन, ब्राउन शुगर, चॉकलेट, चॉकलेट चिप्स, अंडे , आटा, कोको पाउडर, बेकिंग पाउडर",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,330
325,gluten-free christmas cake,cake,"क्रिसमस ड्राई फ्रूट्स (पहले से भीगे हुए),  संतरे का छिलका, नींबू का छिलका, गुड़ का सिरप, बादाम का आटा, सेब, मक्खन, अंडे",veg,potassium, kidney_disease goitre, high_fiber_diet low_fat_diet ketogenic_diet high_protien_diet,510
